main_commit	main_feature_or_fix	comparison	files_at_commit	same_as_current_main	different_from_current_main	files_needing_behavior_review	files_identical_to_current_main
e7deb2aaf4d4d089618dc0c8f393fa0b8b6c77e9	feat(web): cite assistant responses with inline citations (#9146)	review-v2-path	49	34	15	apps/mobile/src/features/threads/ThreadFeed.tsx; apps/mobile/src/lib/projectThreadStartTurn.test.ts; apps/mobile/src/lib/projectThreadStartTurn.ts; apps/server/src/orchestration/Layers/ProviderCommandReactor.test.ts; apps/server/src/orchestration/Layers/ProviderCommandReactor.ts; apps/server/src/provider/Layers/ProviderService.test.ts; apps/server/src/provider/Layers/ProviderService.ts; apps/web/src/components/ChatView.tsx; apps/web/src/components/chat/ChatComposer.tsx; apps/web/src/components/chat/MessagesTimeline.tsx; apps/web/src/components/chat/useAssistantCitationTarget.ts; apps/web/src/index.css; docs/user/composer.md; packages/contracts/src/index.ts; packages/shared/package.json	apps/web/src/components/ChatMarkdown.tsx; apps/web/src/components/ComposerCitationNode.tsx; apps/web/src/components/ComposerPromptEditor.test.ts; apps/web/src/components/ComposerPromptEditor.tsx; apps/web/src/components/ThreadTerminalDrawer.test.ts; apps/web/src/components/ThreadTerminalDrawer.tsx; apps/web/src/components/chat/AssistantCitationChip.tsx; apps/web/src/components/chat/AssistantCitationCommentEditor.tsx; apps/web/src/components/chat/AssistantCitationSource.test.ts; apps/web/src/components/chat/AssistantCitationSource.tsx; apps/web/src/components/chat/AssistantSelectionToolbar.tsx; apps/web/src/components/chat/ComposerStashMenu.tsx; apps/web/src/components/chat/composerSubmission.test.ts; apps/web/src/components/chat/composerSubmission.ts; apps/web/src/components/composerInlineTokenPaste.ts; apps/web/src/composer-editor-mentions.test.ts; apps/web/src/composer-editor-mentions.ts; apps/web/src/composer-logic.test.ts; apps/web/src/composer-logic.ts; apps/web/src/composerDraftStore.test.ts; apps/web/src/lib/assistantCitationNavigation.test.ts; apps/web/src/lib/assistantCitationNavigation.ts; apps/web/src/lib/assistantTextSelection.test.ts; apps/web/src/lib/assistantTextSelection.ts; apps/web/src/lib/selectionActions.test.ts; apps/web/src/lib/selectionActions.ts; apps/web/src/markdown-clipboard.test.ts; apps/web/src/promptStashStore.test.ts; apps/web/src/terminal/ghostty/surface.ts; docs/internals/assistant-citations.md; docs/internals/providers.md; packages/contracts/src/assistantCitations.ts; packages/shared/src/assistantCitations.test.ts; packages/shared/src/assistantCitations.ts
2ab7973fe06eecf8b0a0d1da8481d926fca1ee1b	fix(web): hide build pill in narrow sidebars (#9159)	identical-final-files	1	1	0		apps/web/src/components/sidebar/SidebarChrome.tsx
9fdafdf114a88bd7309883b4578e74cbe786d04d	feat(pull-requests): copy provider checkout commands (#9086)	review-v2-path	9	7	2	apps/web/src/components/pullRequest/pullRequestDetail.logic.test.ts; apps/web/src/components/pullRequest/pullRequestDetail.logic.ts	apps/server/src/pullRequest/BitbucketPullRequestProvider.ts; apps/server/src/pullRequest/PullRequestProvider.ts; apps/server/src/pullRequest/PullRequestService.ts; apps/server/src/pullRequest/bitbucketPullRequestJson.test.ts; apps/server/src/pullRequest/bitbucketPullRequestJson.ts; apps/web/src/components/pullRequest/PullRequestDetailPanel.tsx; packages/contracts/src/pullRequest.ts
47a95332a2b8fe47da9fb0af97fd6f0b542a18ee	fix(web): browse folders from file breadcrumbs (#8910)	review-v2-path	5	4	1	apps/web/src/components/files/FilePreviewPanel.tsx	apps/web/src/components/files/FileBreadcrumbs.tsx; apps/web/src/components/files/filePath.test.ts; apps/web/src/components/files/filePath.ts; apps/web/src/components/files/projectFilesQueryState.test.tsx
fea1af81fdab64a19353224d60b4efa60f929740	fix(web): compact project settings actions (#9160)	identical-final-files	1	1	0		apps/web/src/components/settings/ProjectSettingsPanel.tsx
d937e30759ceae421bf3cc1b84414de4b67df76c	feat(web): render HTML and PDF files in the file viewer (#9143)	review-v2-path	2	0	2	apps/web/src/components/files/FilePreviewPanel.tsx; docs/user/composer.md	
f46a709ee487e1e6e04423fcb7032a26eb103129	feat(files): open markdown, HTML, and PDF files outside the workspace (#9140)	review-v2-path	26	18	8	apps/mobile/src/features/threads/ThreadFeed.tsx; apps/server/src/http.test.ts; apps/web/src/components/RightPanelTabs.tsx; apps/web/src/components/files/FilePreviewPanel.tsx; apps/web/src/rightPanelStore.ts; docs/user/composer.md; packages/contracts/src/assets.ts; packages/contracts/src/project.ts	apps/mobile/src/features/files/ThreadFilesRouteScreen.tsx; apps/mobile/src/features/files/filePath.test.ts; apps/mobile/src/features/files/filePath.ts; apps/mobile/src/features/files/workspaceFileAssetUrl.ts; apps/server/src/assets/AssetAccess.test.ts; apps/server/src/assets/AssetAccess.ts; apps/server/src/http.ts; apps/server/src/workspace/WorkspaceFileSystem.test.ts; apps/server/src/workspace/WorkspaceFileSystem.ts; apps/web/src/browser/openFileInPreview.ts; apps/web/src/components/ChatMarkdown.tsx; apps/web/src/components/files/filePath.test.ts; apps/web/src/components/files/filePath.ts; apps/web/src/markdown-links.test.ts; apps/web/src/markdown-links.ts; apps/web/src/terminal-links.ts; docs/internals/environment-auth.md; packages/shared/src/filePreview.ts
f2a914b8588bf3038472c14b129fbc5ddb3a2992	fix(web): preserve panel state across workspace refreshes (#8968)	review-v2-path	7	6	1	apps/web/src/components/DiffPanel.tsx	apps/web/src/components/diffs/AnnotatableCodeView.tsx; apps/web/src/components/files/FileBrowserPanel.tsx; apps/web/src/components/files/fileTreePathReconciliation.test.ts; apps/web/src/components/files/fileTreePathReconciliation.ts; apps/web/src/lib/diffRendering.test.ts; apps/web/src/lib/diffRendering.ts
8401f4d85887786fbb773d3fd41b8f07a77624b8	fix(web): darken neutral control surfaces (#9064)	review-v2-path	5	4	1	apps/web/src/index.css	apps/web/src/components/chat/ComposerBanner.tsx; apps/web/src/components/chat/ComposerSurface.tsx; apps/web/src/themePalette.test.ts; apps/web/src/themePalette.ts
0e1570bde5b64458449a45989f1b56d6fd651883	fix(web): project default model works on the hosted app (#9142)	review-v2-path	8	7	1	apps/web/src/components/settings/SettingsPanels.tsx	apps/web/src/components/settings/IntegrationsSettings.tsx; apps/web/src/components/settings/ProjectSettingsPanel.tsx; apps/web/src/components/settings/SourceControlSettings.tsx; apps/web/src/components/settings/SourceControlWritingSettings.tsx; apps/web/src/components/settings/settingsLayout.tsx; apps/web/src/hooks/useSettings.ts; apps/web/src/hostedPairing.ts
c37fd136edf546fd58daeac146548436c1fa38c2	test(server): measure shell, second client, and reconnect transfer (#9157)	review-v2-path	6	1	5	apps/server/integration/NetworkTransferMeasurement.integration.ts; apps/server/integration/OrchestrationEngineHarness.integration.ts; apps/server/integration/TransferBudgetReport.integration.ts; apps/server/integration/TransferBudgetScenario.integration.ts; apps/server/src/server.test.ts	apps/server/integration/SqlStatementCounter.integration.ts
