id	category	status	priority	difference	proposed_action	recommendation	user_decision	validation	evidence
F17	correctness	fixed	closed	Mobile assistant renderer bypass	No new fix; retain scoped specialized renderer	no action		Citations, template action, iOS scoped image/video callback are wired	clients.md
F18	missed-main-port	new	P1	Clean OpenCode SSE EOF leaves session apparently ready	Handle unexpected clean EOF through failure/reconnect lifecycle	yes		Deterministic stream completion; no timing-based absence assertion	providers.md: PROV-OPENCODE-01
F19	missed-main-port	new	P1	OpenCode approval/question reply can hang effect lane	Abort and time-bound SDK replies; define delivery failure handling	yes		Never-resolving reply; cancellation; next same-thread effect; both reply types	providers.md: PROV-OPENCODE-02
F20	missed-main-port	new	P1	Claude dead-turn reason reported completed	Classify structured terminal_reason and preserve failure detail	yes		Actual adapter reproducer plus all SDK dead-turn reasons and interrupts	providers.md: PROV-CLAUDE-01
F21	missed-main-port	new	P2	OpenCode per-turn token telemetry unavailable	Accumulate step-finish usage with correct turn ownership	yes		Multiple steps, partial usage, cache/reasoning tokens, out-of-turn events	providers.md: PROV-OPENCODE-03
F22	performance	new	P2	Scheduler scans all rows every five seconds	Query only due candidates and retain corrupt-row isolation	yes		Many future/disabled tasks; only due rows decoded; crash recovery separate	persistence.md: PERSIST-N01
M01	main-only-catch-up	absent	high performance	Release unused thread streams	Port [#9740](https://github.com/pingdotgg/t3code/pull/9740)	yes		Last consumer closes stream; remount retains cursor/warm snapshot; all clients	clients.md: CLIENT-01
M02	main-only-catch-up	absent	polish	Server update notice refinement	Port [#9744](https://github.com/pingdotgg/t3code/pull/9744)	yes		Narrow layout and tooltip; no baseline notice removal	clients.md
M03	main-only-catch-up	absent	feature	Pull request author profile links	Port [#9627](https://github.com/pingdotgg/t3code/pull/9627)	yes		Non-bot author link preserves existing avatar/name	clients.md
M04	main-only-catch-up	absent	high performance	Bound terminal history by bytes	Port [#9748](https://github.com/pingdotgg/t3code/pull/9748)	yes		Giant partial line, UTF-8 tail, saved history read and attach payload	cross-cutting.md
M05	main-only-catch-up	absent	performance	Index terminal metadata once per snapshot	Port [#9747](https://github.com/pingdotgg/t3code/pull/9747)	yes		Many row consumers reuse one index and unaffected array identities	clients.md: CLIENT-02
M06	main-only-catch-up	absent	high performance	Bound mobile parsed review cache and prewarm	Port [#9749](https://github.com/pingdotgg/t3code/pull/9749)	yes		Count/source-size limits, large entries, adjacent prewarm, registry isolation	clients.md: CLIENT-03
M07	main-only-catch-up	absent	entry point	New-thread Project settings shortcut	Port [#9743](https://github.com/pingdotgg/t3code/pull/9743)	yes		Header path works; sidebar and palette remain available	clients.md
M08	main-only-catch-up	absent	presentation	Fold one safe trailing activity	Port [#9739](https://github.com/pingdotgg/t3code/pull/9739)	yes		Single ordinary success folded; failures, resource rows and groups stay visible	clients.md: CLIENT-04
M09	main-only-catch-up	absent	performance	Defer mobile file highlighter startup	Port [#9752](https://github.com/pingdotgg/t3code/pull/9752)	yes		First image/video/preview route does not load highlighter; source route still lazily highlights	clients.md: late-main addendum
M10	main-only-catch-up	missing; local groundwork	performance	Avoid full history for metadata and provider control	Adapt narrow-read invariant from [#9758](https://github.com/pingdotgg/t3code/pull/9758) to V2	yes		Metadata edits, interrupt and runtime replies do not read unrelated history; actual turn/title context retained	persistence.md: M10
M11	main-only-catch-up	absent	performance	Defer signed URLs for offscreen history images	Port [#9760](https://github.com/pingdotgg/t3code/pull/9760)	yes		Only mounted image rows query URLs; pending local-preview handoff preserved	clients.md: late-main addendum
M12	main-only-catch-up	bundled fallback behind	catalog	Current Codex model classification	Port bundled manifest from [#9762](https://github.com/pingdotgg/t3code/pull/9762)	yes		Offline bundle marks gpt-6-astra current; online remote refresh already can compensate	cross-cutting.md
M13	main-only-catch-up	absent	correctness	Prevent empty proactive diffs replacing a pull request	Adapt [#9753](https://github.com/pingdotgg/t3code/pull/9753) to V2 run summaries	yes		Active PR remains selected; only ready nonempty checkpoints open; loading can defer	cross-cutting.md
M14	main-only-catch-up	absent	presentation	Dim background working threads consistently	Adapt [#9759](https://github.com/pingdotgg/t3code/pull/9759) using V2 statuses	yes		Unread/wake does not promote background work; active/selected/action-required states remain clear	cross-cutting.md
M15	main-only-catch-up	absent	affordance	Reset automatic pull to default	Port [#9763](https://github.com/pingdotgg/t3code/pull/9763) reset action	yes		Reset calls existing false setter; on/off switch remains functional	cross-cutting.md
D01	product-decision	explicitly deferred	decision	Server-update continuation	Port V2 continuation or keep capability explicitly unavailable	yes for parity, otherwise defer		Restart active work through intended recovery semantics	cross-cutting.md
D02	product-decision	unresolved	decision	Inherited Markdown source ownership	Choose source worktree versus current fork for inherited references	decision needed		Diverged source/fork worktrees; normal messages, plans and inspector; both clients	clients.md
D03	product-decision	accepted	decision	Cursor SDK architecture	Keep SDK migration and explicit unsupported capabilities	keep		F08 permission boundary is an independent required fix	providers.md
D04	product-decision	accepted	decision	Legacy import scope	Keep metadata/message import with fresh provider continuation	keep		Docs and product messaging remain accurate; F01 still needs repair	persistence.md
D05	product-decision	accepted	decision	Protocol V2 compatibility gate	Keep rejecting mismatched peers	keep		Matching hosted/local/mobile/desktop server protocol; CORS header	cross-cutting.md
D06	product-decision	accepted	decision	Portable context summary limits	Keep per-item and legacy-import context budgets	keep		Explicitly accept fidelity tradeoff unless requirements change	AUDIT.md
D07	product-decision	accepted	decision	Compact mobile active-thread queue	Keep reorder/steer/cancel without web editor and thumbnails	keep		New-task outbox editor is separate; F10 attachment rendering remains a bug	clients.md
D08	product-decision	unresolved	decision	Schedules targeting archived or deleted threads	Choose disable/reject or deliberate waiting for unarchive	decision needed		Archive/unarchive/delete existing target; new binding; recurring failure state	cross-cutting.md
V01	validation	implementation fixed; measurement open	validation	V2 wire workload budget	Measure coalescing and fallback on representative provider replay	yes		Frames, bytes, retained state; persisted events untouched	cross-cutting.md
V02	validation	closed as broad concern	closed	Cwd catalog refresh outside web	No broad fix without a narrower reproduction	no action		Mobile refresh retained; no execution-only stale failure established	providers.md
V03	validation	not run	validation	Real client and remote interactions	Run integrated pass when explicitly authorized	yes with authorization		Web/desktop/mobile attachments, queue edits, inherited links, remote fallback	AUDIT.md
V04	validation	unmeasured tradeoff	validation	Startup canonical projection verification	Benchmark before changing full corruption verification	measure first		Large retained DB, startup latency and memory; preserve corruption recovery	persistence.md
C01	ci	failed	merge gate	Current-head formatting failure	Fix seven formatting errors and obtain non-cancelled required checks	yes		CI Check plus server shard 3; do not confuse dirty overlay with committed CI	ci-check-failure.log
